pk_reading,base_slug,public_title,default_variant,status,cpt,level_tax,grammar_tax,topic_tax,post_tags,priority,output_folder
001,hedy-lamarr,"Spanish Reading: Hedy Lamarr, la actriz que invento el wifi",narrative_profile,planned,readings,intermediate,,Culture,technology;biography;Hedy Lamarr;wifi,1,docs/content-system/generated/generated-markdown-posts/readings/
002,new-neighborhood,Spanish Reading: Mi nuevo barrio,practical_situation,planned,readings,beginner,,Daily Life,neighborhood;city,2,docs/content-system/generated/generated-markdown-posts/readings/
003,airport-trip,Spanish Reading: Mi viaje al aeropuerto,practical_situation,planned,readings,beginner,,Travel,airport;trip,3,docs/content-system/generated/generated-markdown-posts/readings/
004,first-job,Spanish Reading: Mi primer trabajo,practical_situation,planned,readings,beginner,,Work,first-job;employment,4,docs/content-system/generated/generated-markdown-posts/readings/
005,coffee-shop,Spanish Reading: Una tarde en la cafeteria,practical_situation,planned,readings,beginner,,Food,cafe;coffee,5,docs/content-system/generated/generated-markdown-posts/readings/
006,penicillin-discovery,Spanish Reading: El descubrimiento de la penicilina,curiosity_article,planned,readings,intermediate,,Health,science;medicine;penicillin;Alexander Fleming,6,docs/content-system/generated/generated-markdown-posts/readings/
007,salad-recipes,Spanish Reading: Recetas de ensaladas,procedural_set,planned,readings,beginner,,Food,salad;recipes;food,7,docs/content-system/generated/generated-markdown-posts/readings/
008,pigs-curiosities,Spanish Reading: Curiosidades sobre los cerdos,curiosity_article,planned,readings,beginner,,Nature,animals;pigs;curiosities,8,docs/content-system/generated/generated-markdown-posts/readings/
009,code-talkers,Spanish Reading: Los Code Talkers: el idioma navajo en la guerra,curiosity_article,planned,readings,intermediate,,Culture,history;language;Navajo;war,9,docs/content-system/generated/generated-markdown-posts/readings/
010,broken-window-theory,Spanish Reading: La teoría de la ventana rota,curiosity_article,planned,readings,advanced,,Culture,sociology;crime;theory,10,docs/content-system/generated/generated-markdown-posts/readings/
011,rosalind-franklin,Spanish Reading: Rosalind Franklin: la científica olvidada,narrative_profile,planned,readings,intermediate,,Culture,biography;science;Rosalind Franklin;DNA,11,docs/content-system/generated/generated-markdown-posts/readings/
012,sharks-or-trees,Spanish Reading: ¿Quiénes son más antiguos: los tiburones o los árboles?,curiosity_article,planned,readings,beginner,,Nature,sharks;trees;evolution,12,docs/content-system/generated/generated-markdown-posts/readings/
013,saturn-rings,Spanish Reading: Los anillos de Saturno,curiosity_article,planned,readings,intermediate,,Culture,astronomy;Saturn;science,13,docs/content-system/generated/generated-markdown-posts/readings/
014,galileo-discoveries,Spanish Reading: Los descubrimientos de Galileo,narrative_profile,planned,readings,intermediate,,Culture,Galileo;astronomy;science,14,docs/content-system/generated/generated-markdown-posts/readings/
015,bacteria,Spanish Reading: ¿Qué son las bacterias?,curiosity_article,planned,readings,intermediate,,Health,bacteria;microorganisms;science,15,docs/content-system/generated/generated-markdown-posts/readings/
016,lise-meitner,Spanish Reading: Lise Meitner: la madre de la fisión nuclear que la historia borró,narrative_profile,planned,readings,intermediate,,Culture,biography;science;Lise Meitner;nuclear-fission,16,docs/content-system/generated/generated-markdown-posts/readings/
017,double-slit-experiment,Spanish Reading: El experimento de la doble rendija,curiosity_article,planned,readings,advanced,,Culture,physics;science;quantum,17,docs/content-system/generated/generated-markdown-posts/readings/
