pk_grammar,base_slug,topic_base,public_title,status,cpt,lesson_type,default_variant,default_focus,level_tax,grammar_tax,topic_tax,route_tax,route_block,route_step,post_tags,priority,output_folder,wp_post_id,wp_slug,wp_status,last_wp_seen_modified_gmt,grammar_section,grammar_group,grammar_order,search_terms
1,sustantivos-basicos,Sustantivos básicos,"Artículos definidos: El, La, Los and Las",published,grammar,particle-set,lexical-grammar,basic nouns,beginner,Parts of Speech,,beginner,1,5,sustantivos; nouns;,1,docs/content-system/generated/markdown/grammar/,7331,sustantivos-basicos,published,2026-06-20 12:28:22,Foundations,Nouns and articles,1,articles; el; la; los; las; definite articles; sustantivos
2,ser-presente,Ser,"Ser: Identity, Origin and Description",published,grammar,verb-usage,,present indicative,beginner,Present,,beginner,1,10,ser; present tense,2,docs/content-system/generated/markdown/grammar/,7023,ser-presente,published,2026-06-20 14:49:52,Present and everyday actions,"Ser, estar, hay and tener",1,ser; identity; origin; description; presente
3,estar-presente,Estar,"Estar: Location, Feelings and States",published,grammar,verb-usage,,present indicative,beginner,Present,,beginner,1,20,estar; present tense,3,docs/content-system/generated/markdown/grammar/,7025,estar-presente,published,2026-06-20 14:50:12,Present and everyday actions,"Ser, estar, hay and tener",2,estar; location; feelings; temporary states; presente
4,verbos-basicos-tener-que,Verbos básicos,"Verbos básicos: Tener, Tener que and Deber",published,grammar,structure,,basic infinitives,beginner,Parts of Speech,,beginner,2,40,verbos; infinitives; tener que,4,docs/content-system/generated/markdown/grammar/,7332,verbos-basicos-tener-que,published,2026-06-20 16:37:54,Present and everyday actions,Needs and obligations,1,tener; tener que; deber; basic verbs; obligation
5,hay,Hay,Hay: There Is and There Are,published,grammar,structure,,overview,beginner,Present,,beginner,1,30,hay; existence,5,docs/content-system/generated/markdown/grammar/,5704,hay,published,2026-06-20 14:50:39,Present and everyday actions,"Ser, estar, hay and tener",3,hay; there is; there are; existence
6,hay-que,Hay que,Hay que: General Obligations,published,grammar,structure,,present indicative,beginner,Present,,beginner,2,20,hay que; obligation,6,docs/content-system/generated/markdown/grammar/,5677,hay-que,published,2026-06-20 14:51:54,Present and everyday actions,Needs and obligations,2,hay que; obligation; must; general obligation
7,tener-presente,Tener,"Tener: Age, Possession and Expressions",published,grammar,verb-usage,,present indicative,beginner,Present,,beginner,2,10,tener; present tense,7,docs/content-system/generated/markdown/grammar/,5562,tener-presente,published,2026-06-20 14:54:16,Present and everyday actions,"Ser, estar, hay and tener",4,tener; age; possession; expressions
8,tener-que-deber,Tener que / Deber,Tener que and deber: Obligations,published,grammar,structure,,present indicative,beginner,Present,,beginner,2,30,tener que; deber; obligation,8,docs/content-system/generated/markdown/grammar/,5561,tener-que-deber,published,2026-06-20 15:01:05,Present and everyday actions,Needs and obligations,3,tener que; deber; obligation; must; should
9,hacer-presente,Hacer,Hacer: Common Uses,published,grammar,verb-usage,,present indicative,beginner,Present,,beginner,4,10,hacer; present tense,9,docs/content-system/generated/markdown/grammar/,7011,hacer-presente,published,2026-06-20 12:28:38,Present and everyday actions,Present tense,1,hacer; present tense; common verbs
10,ir-a-infinitivo,Ir a + infinitivo,Ir a + infinitivo: Near Future Plans,draft,grammar,structure,,near future,beginner,Future,,beginner,3,20,ir a; infinitivo; future,10,docs/content-system/generated/markdown/grammar/,7333,ir-a-infinitivo,draft,2026-06-20 12:28:40,"Future, conditions and commands",Future plans,1,ir a; infinitive; near future; plans; futuro cercano
11,ir-presente,Ir,Ir: Going Places,published,grammar,verb-usage,,present indicative,beginner,Present,,beginner,3,10,ir; present tense,11,docs/content-system/generated/markdown/grammar/,5557,ir-presente,published,2026-06-20 15:01:33,Present and everyday actions,Present tense,2,ir; go; present tense; places
12,poder-presente,Poder,Poder: Ability and Permission,planned,grammar,verb-usage,,present indicative,beginner,Present,,,,,poder; ability,12,docs/content-system/generated/markdown/grammar/,,,,,Present and everyday actions,Present tense,3,poder; ability; permission; can
13,querer-preferir-necesitar,Querer / Preferir / Necesitar,"Querer, preferir and necesitar: Wants and Needs",published,grammar,structure,,present indicative,beginner,Present,,beginner,6,10,querer; preferir; necesitar; infinitive,13,docs/content-system/generated/markdown/grammar/,5606,querer-preferir-necesitar,published,2026-06-20 15:02:53,Present and everyday actions,Needs and obligations,4,querer; preferir; necesitar; wants; needs; infinitive
14,gustar-encantar-interesar,Gustar / Encantar / Interesar,Gustar and similar verbs: Likes and Interests,published,grammar,structure,,present indicative,intermediate,Present,,,,,gustar; encantar; interesar; likes,14,docs/content-system/generated/markdown/grammar/,5618,gustar-encantar-interesar,published,2026-06-08 21:03:04,Present and everyday actions,Likes and interests,1,gustar; encantar; interesar; likes; interests
15,me-encanta-me-interesa,Me encanta / Me interesa,Me encanta and me interesa: Talking About Likes,published,grammar,structure,,present indicative,intermediate,Present,,,,,me encanta; me interesa; gustar-like verbs,15,docs/content-system/generated/markdown/grammar/,5995,me-encanta-me-interesa,published,2026-06-08 21:03:05,Present and everyday actions,Likes and interests,2,me encanta; me interesa; gustar-like verbs
16,me-molesta-fascina-importa,Me molesta / Me fascina / Me importa,"Me molesta, me fascina and me importa: Reactions and Importance",published,grammar,structure,,present indicative,intermediate,Present,,,,,me molesta; me fascina; me importa; gustar-like verbs,16,docs/content-system/generated/markdown/grammar/,6015,me-molesta-fascina-importa,published,2026-06-20 15:04:01,Present and everyday actions,Likes and interests,3,me molesta; me fascina; me importa; gustar-like verbs
17,present-progressive,Estar + gerundio,Estar + gerundio: Actions in Progress,published,grammar,tense,,present progressive,beginner,Present,,beginner,4,40,estar; gerundio; present progressive,17,docs/content-system/generated/markdown/grammar/,,,,,Present and everyday actions,Actions in progress,1,present progressive; estar; gerund; actions in progress
18,adjetivos-posesivos,Adjetivos posesivos,"Adjetivos posesivos: Mi, Tu, Su and Nuestro",published,grammar,particle-set,,possessive adjectives,beginner,Parts of Speech,,beginner,5,10,adjetivos posesivos; mi; tu; su; nuestro,18,docs/content-system/generated/markdown/grammar/,7334,adjetivos-posesivos,published,2026-06-20 12:28:47,Foundations,Reference and possession,1,possessive adjectives; mi; tu; su; nuestro; possession
19,demostrativos,Demostrativos,"Demostrativos: Este, Ese and Aquel",draft,grammar,particle-set,,demonstratives,beginner,Parts of Speech,,beginner,5,20,demostrativos; este; ese; aquel,19,docs/content-system/generated/markdown/grammar/,7335,demostrativos,draft,2026-06-20 12:28:49,Foundations,Reference and possession,2,demonstratives; este; ese; aquel; this; that
20,pronombres-posesivos,Pronombres posesivos,"Pronombres posesivos: Mío, Tuyo and Suyo",published,grammar,particle-set,,possessive pronouns,intermediate,Parts of Speech,,,,,pronombres posesivos; mío; tuyo; suyo,20,docs/content-system/generated/markdown/grammar/,7339,pronombres-posesivos,published,2026-06-20 14:46:35,Pronouns and connections,Possessive pronouns,1,possessive pronouns; mío; tuyo; suyo; mine; yours
21,pronombres-posesivos-demostrativos,Pronombres posesivos + demostrativos,"Pronombres posesivos y demostrativos: Mine, This One and That One",draft,grammar,comparison,,possessive pronouns and demonstratives,intermediate,Parts of Speech,,,,,pronombres posesivos; demostrativos; contrast,21,docs/content-system/generated/markdown/grammar/,7340,pronombres-posesivos-demostrativos,draft,2026-06-16 20:13:53,Pronouns and connections,Possessive pronouns,2,possessives; demonstratives; mine; this one; that one
22,present-indicative-regulars,Presente indicativo regular,Presente indicativo: Regular Verbs,published,grammar,tense,,present indicative,beginner,Present,,beginner,4,20,present indicative; regular verbs,22,docs/content-system/generated/markdown/grammar/,,,,,Present and everyday actions,Present tense,4,present tense; regular verbs; presente; -ar; -er; -ir
23,presente-indicativo-irregulares,Presente indicativo irregular,Presente indicativo: Common Irregular Verbs,published,grammar,tense,,present indicative,beginner,Present,,beginner,4,30,present indicative; irregular verbs,23,docs/content-system/generated/markdown/grammar/,7341,presente-indicativo-irregulares,published,2026-06-20 12:28:51,Present and everyday actions,Present tense,5,present tense; irregular verbs; stem-changing; presente
24,adverbios-frecuencia,Adverbios de frecuencia,"Adverbios de frecuencia: Siempre, A veces and Nunca",draft,grammar,particle-set,,frequency adverbs,beginner,Parts of Speech,,beginner,7,20,adverbios de frecuencia; siempre; a veces; nunca,24,docs/content-system/generated/markdown/grammar/,7342,adverbios-frecuencia,draft,2026-06-20 12:28:54,Foundations,"Questions, place and frequency",3,frequency adverbs; siempre; a veces; nunca; routines
25,pronombres-interrogativos,Pronombres interrogativos,"Pronombres interrogativos: Qué, Quién, Cuándo and Dónde",draft,grammar,particle-set,,question words,beginner,Parts of Speech,,beginner,7,10,pronombres interrogativos; qué; quién; cuándo; dónde,25,docs/content-system/generated/markdown/grammar/,7343,pronombres-interrogativos,draft,2026-06-20 12:28:56,Foundations,"Questions, place and frequency",1,question words; qué; quién; cuándo; dónde; questions
